Чипсы, виноград и молоко	Еда	2013-01-09	275,20	
Морковка, бананы, лаваш	Еда	2013-01-12	149,07	
Хлеб	Еда,хлеб	2013-01-12	12,00	
Чадар, курта, сари, платок, костюм, юбка, ещё один платок.	Одежда	2013-08-04	8250,00	
Бязь 2 метра на гамчи	Одежда	2013-08-16	404,00	
Кеды Инге	Одежда	2013-08-16	500,00	
Кеды и тапочки Марку	Одежда	2013-08-16	1400,00	
Купальник	Одежда	2013-09-23	750,00	
Юбка	Одежда	2013-09-23	800,00	
Халат банный Инге	Одежда	2013-09-17	705,00	
Три платка	Одежда	2013-09-25	550,00	
Заплатил за Садху-сангу	Садху-санга	2013-08-01	11000,00	
Сходили в кино на Элизиум	кино	2013-08-15	220,00	41
Депиляция	Разное	2013-08-16	750,00	39
Остаток за Садху-Сангу	Садху-санга	2013-08-17	14500,00	
Что-то неизвестное в хозтоварах на рынке («Нафаня»)	Разное,неопознанное	2013-09-06	245,00	60
Посетили аура-салон в Нижнекамске	Разное	2013-09-07	800,00	
Что-то странное в ИП Муллина Г. Р., ИНН 165044586544	Разное,неопознанное	2013-09-12	250,00	64
Мыльницы две	Хозтовары	2013-01-28	30,42	
Туалетная бумага	Хозтовары	2013-01-30	76,80	
Дезодорант и прокладки	Хозтовары	2013-02-19	193,32	
Спички	Хозтовары	2013-03-06	10,00	
Губка для посуды и железная мочалка	Хозтовары	2013-07-07	75,06	
Туалетная бумага	Хозтовары	2013-07-11	50,00	
Лампочка в прожектор	Хозтовары	2013-07-29	28,00	
Мыло	Хозтовары	2013-08-27	86,09	
Презервативы	Хозтовары	2013-08-29	90,00	57
Тряпка для пола из микрофибры, перчатки латексные	Хозтовары	2013-09-08	111,00	
Сода	Хозтовары	2013-09-10	17,80	
Перекись водорода	Хозтовары	2013-09-10	27,00	
